001001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
001002##T0002    1,七佛經                                   ,【宋 法天譯】
001003##T0003    2,毘婆尸佛經                               ,【宋 法天譯】
001004##T0004    1,七佛父母姓字經                           ,【失譯】
001005##T0005    2,佛般泥洹經                               ,【西晉 白法祖譯】
001006##T0006    2,般泥洹經                                 ,【失譯】
001007##T0007    3,大般涅槃經                               ,【東晉 法顯譯】
001008##T0008    2,大堅固婆羅門緣起經                       ,【宋 施護等譯】
001009##T0009    1,人仙經                                   ,【宋 法賢譯】
001010##T0010    3,白衣金幢二婆羅門緣起經                   ,【宋 施護等譯】
001011##T0011    2,尼拘陀梵志經                             ,【宋 施護等譯】
001012##T0012    2,大集法門經                               ,【宋 施護譯】
001013##T0013    2,長阿含十報法經                           ,【後漢 安世高譯】
001014##T0014    1,人本欲生經                               ,【後漢 安世高譯】
001015##T0015    1,帝釋所問經                               ,【宋 法賢譯】
001016##T0016    1,尸迦羅越六方禮經                         ,【後漢 安世高譯】
001017##T0017    1,善生子經                                 ,【宋 支法度譯】
001018##T0018    1,信佛功德經                               ,【宋 法賢譯】
001019##T0019    1,大三摩惹經                               ,【宋 法天譯】
001020##T0020    1,佛開解梵志阿[颱-台+(犮-乂+又)]經         ,【吳 支謙譯】
001021##T0021    1,梵網六十二見經                           ,【吳 支謙譯】
001022##T0022    1,寂志果經                                 ,【東晉 竺曇無蘭譯】
001023##T0023    6,大樓炭經                                 ,【西晉 法立共法炬譯】
001024##T0024   10,起世經                                   ,【隋 闍那崛多等譯】
001025##T0025   10,起世因本經                               ,【隋 達摩笈多譯】
001026##T0026   60,中阿含經                                 ,【東晉 瞿曇僧伽提婆譯】
001027##T0027    1,七知經                                   ,【吳 支謙譯】
001028##T0028    1,園生樹經                                 ,【宋 施護譯】
001029##T0029    1,鹹水喻經                                 ,【失譯】
001030##T0030    1,薩缽多酥哩踰捺野經                       ,【宋 法賢譯】
001031##T0031    1,一切流攝守因經                           ,【後漢 安世高譯】
001032##T0032    1,四諦經                                   ,【後漢 安世高譯】
001033##T0033    1,恒水經                                   ,【西晉 法炬譯】
001034##T0034    1,法海經                                   ,【西晉 法炬譯】
001035##T0035    1,海八德經                                 ,【後秦 鳩摩羅什譯】
001036##T0036    1,本相猗致經                               ,【後漢 安世高譯】
001037##T0037    1,緣本致經                                 ,【失譯】
001038##T0038    1,輪王七寶經                               ,【宋 施護譯】
001039##T0039    1,頂生王故事經                             ,【西晉 法炬譯】
001040##T0040    1,文陀竭王經                               ,【北涼 曇無讖譯】
001041##T0041    1,頻婆娑羅王經                             ,【劉宋 法賢譯】
001042##T0042    1,鐵城泥犁經                               ,【東晉 竺曇無蘭譯】
001043##T0043    1,閻羅王五天使者經                         ,【劉宋 慧簡譯】
001044##T0044    1,古來世時經                               ,【失譯】
001045##T0045    2,大正句王經                               ,【宋 法賢譯】
001046##T0046    1,阿那律八念經                             ,【後漢 支曜譯】
001047##T0047    1,離睡經                                   ,【西晉 竺法護譯】
001048##T0048    1,是法非法經                               ,【後漢 安世高譯】
001049##T0049    1,求欲經                                   ,【西晉 法炬譯】
001050##T0050    1,受歲經                                   ,【西晉 竺法護譯】
001051##T0051    1,梵志計水淨經                             ,【失譯】
001052##T0052    1,大生義經                                 ,【宋 施護譯】
001053##T0053    1,苦陰經                                   ,【失譯】
001054##T0054    1,釋摩男本四子經                           ,【吳 支謙譯】
001055##T0055    1,苦陰因事經                               ,【西晉 法炬譯】
001056##T0056    1,樂想經                                   ,【西晉 竺法護譯】
001057##T0057    1,漏分布經                                 ,【後漢 安世高譯】
001058##T0058    1,阿耨風經                                 ,【東晉 竺曇無蘭譯】
001059##T0059    1,諸法本經                                 ,【吳 支謙譯】
001060##T0060    1,瞿曇彌記果經                             ,【劉宋 慧簡譯】
001061##T0061    1,受新歲經                                 ,【西晉 竺法護譯】
001062##T0062    1,新歲經                                   ,【東晉 竺曇無蘭譯】
001063##T0063    1,解夏經                                   ,【宋 法賢譯】
001064##T0064    1,瞻婆比丘經                               ,【西晉 法炬譯】
