001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
001##T0002    1,七佛經                                   ,【宋 法天譯】
001##T0003    2,毘婆尸佛經                               ,【宋 法天譯】
001##T0004    1,七佛父母姓字經                           ,【失譯】
001##T0005    2,佛般泥洹經                               ,【西晉 白法祖譯】
001##T0006    2,般泥洹經                                 ,【失譯】
001##T0007    3,大般涅槃經                               ,【東晉 法顯譯】
001##T0008    2,大堅固婆羅門緣起經                       ,【宋 施護等譯】
001##T0009    1,人仙經                                   ,【宋 法賢譯】
001##T0010    3,白衣金幢二婆羅門緣起經                   ,【宋 施護等譯】
001##T0011    2,尼拘陀梵志經                             ,【宋 施護等譯】
001##T0012    2,大集法門經                               ,【宋 施護譯】
001##T0013    2,長阿含十報法經                           ,【後漢 安世高譯】
001##T0014    1,人本欲生經                               ,【後漢 安世高譯】
001##T0015    1,帝釋所問經                               ,【宋 法賢譯】
001##T0016    1,尸迦羅越六方禮經                         ,【後漢 安世高譯】
001##T0017    1,善生子經                                 ,【宋 支法度譯】
001##T0018    1,信佛功德經                               ,【宋 法賢譯】
001##T0019    1,大三摩惹經                               ,【宋 法天譯】
001##T0020    1,佛開解梵志阿[颱-台+(犮-乂+又)]經         ,【吳 支謙譯】
001##T0021    1,梵網六十二見經                           ,【吳 支謙譯】
001##T0022    1,寂志果經                                 ,【東晉 竺曇無蘭譯】
001##T0023    6,大樓炭經                                 ,【西晉 法立共法炬譯】
001##T0024   10,起世經                                   ,【隋 闍那崛多等譯】
001##T0025   10,起世因本經                               ,【隋 達摩笈多譯】
001##T0026   60,中阿含經                                 ,【東晉 瞿曇僧伽提婆譯】
001##T0027    1,七知經                                   ,【吳 支謙譯】
001##T0028    1,園生樹經                                 ,【宋 施護譯】
001##T0029    1,鹹水喻經                                 ,【失譯】
001##T0030    1,薩缽多酥哩踰捺野經                       ,【宋 法賢譯】
001##T0031    1,一切流攝守因經                           ,【後漢 安世高譯】
001##T0032    1,四諦經                                   ,【後漢 安世高譯】
001##T0033    1,恒水經                                   ,【西晉 法炬譯】
001##T0034    1,法海經                                   ,【西晉 法炬譯】
001##T0035    1,海八德經                                 ,【後秦 鳩摩羅什譯】
001##T0036    1,本相猗致經                               ,【後漢 安世高譯】
001##T0037    1,緣本致經                                 ,【失譯】
001##T0038    1,輪王七寶經                               ,【宋 施護譯】
001##T0039    1,頂生王故事經                             ,【西晉 法炬譯】
001##T0040    1,文陀竭王經                               ,【北涼 曇無讖譯】
001##T0041    1,頻婆娑羅王經                             ,【劉宋 法賢譯】
001##T0042    1,鐵城泥犁經                               ,【東晉 竺曇無蘭譯】
001##T0043    1,閻羅王五天使者經                         ,【劉宋 慧簡譯】
001##T0044    1,古來世時經                               ,【失譯】
001##T0045    2,大正句王經                               ,【宋 法賢譯】
001##T0046    1,阿那律八念經                             ,【後漢 支曜譯】
001##T0047    1,離睡經                                   ,【西晉 竺法護譯】
001##T0048    1,是法非法經                               ,【後漢 安世高譯】
001##T0049    1,求欲經                                   ,【西晉 法炬譯】
001##T0050    1,受歲經                                   ,【西晉 竺法護譯】
001##T0051    1,梵志計水淨經                             ,【失譯】
001##T0052    1,大生義經                                 ,【宋 施護譯】
001##T0053    1,苦陰經                                   ,【失譯】
001##T0054    1,釋摩男本四子經                           ,【吳 支謙譯】
001##T0055    1,苦陰因事經                               ,【西晉 法炬譯】
001##T0056    1,樂想經                                   ,【西晉 竺法護譯】
001##T0057    1,漏分布經                                 ,【後漢 安世高譯】
001##T0058    1,阿耨風經                                 ,【東晉 竺曇無蘭譯】
001##T0059    1,諸法本經                                 ,【吳 支謙譯】
001##T0060    1,瞿曇彌記果經                             ,【劉宋 慧簡譯】
001##T0061    1,受新歲經                                 ,【西晉 竺法護譯】
001##T0062    1,新歲經                                   ,【東晉 竺曇無蘭譯】
001##T0063    1,解夏經                                   ,【宋 法賢譯】
001##T0064    1,瞻婆比丘經                               ,【西晉 法炬譯】
001##T0065    1,伏婬經                                   ,【西晉 法炬譯】
001##T0066    1,魔嬈亂經                                 ,【失譯】
001##T0067    1,弊魔試目連經                             ,【吳 支謙譯】
001##T0068    1,賴吒和羅經                               ,【吳 支謙譯】
001##T0069    1,護國經                                   ,【宋 法賢譯】
001##T0070    1,數經                                     ,【西晉 法炬譯】
001##T0071    1,梵志頞波羅延問種尊經                     ,【東晉 竺曇無蘭譯】
001##T0072    1,三歸五戒慈心厭離功德經                   ,【失譯】
001##T0073    1,須達經                                   ,【蕭齊 求那毘地譯】
001##T0074    1,長者施報經                               ,【宋 法天譯】
001##T0075    1,佛為黃竹園老婆羅門說學經                 ,【失譯】
001##T0076    1,梵摩渝經                                 ,【吳 支謙譯】
001##T0077    1,尊上經                                   ,【西晉 竺法護譯】
001##T0078    1,兜調經                                   ,【失譯】
001##T0079    1,鸚鵡經                                   ,【劉宋 求那跋陀羅譯】
001##T0080    1,佛為首迦長者說業報差別經                 ,【隋 瞿曇法智譯】
001##T0081    2,分別善惡報應經                           ,【宋 天息災譯】
001##T0082    1,意經                                     ,【西晉 竺法護譯】
001##T0083    1,應法經                                   ,【西晉 竺法護譯】
001##T0084    1,分別布施經                               ,【宋 施護譯】
001##T0085    1,息諍因緣經                               ,【宋 施護譯】
001##T0086    1,泥犁經                                   ,【東晉 竺曇無蘭譯】
001##T0087    1,齋經                                     ,【吳 支謙譯】
001##T0088    1,優陂夷墮舍迦經                           ,【失譯】
001##T0089    1,八關齋經                                 ,【劉宋 沮渠京聲譯】
001##T0090    1,鞞摩肅經                                 ,【劉宋 求那跋陀羅譯】
001##T0091    1,婆羅門子命終愛念不離經                   ,【後漢 安世高譯】
001##T0092    1,十支居士八城人經                         ,【後漢 安世高譯】
001##T0093    1,邪見經                                   ,【失譯】
001##T0094    1,箭喻經                                   ,【失譯】
001##T0095    1,蟻喻經                                   ,【宋 施護譯】
001##T0096    1,治意經                                   ,【失譯】
001##T0097    1,廣義法門經                               ,【陳 真諦譯】
001##T0098    1,普法義經                                 ,【後漢 安世高譯】
002##T0099   50,雜阿含經                                 ,【劉宋 求那跋陀羅譯】
