cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
		imacron	1	012B		[-/i]	ii	
		uacute	1	00FA		[′/u]	`u	
		ucirc	1	00FB		[^/u]	^u	
	M063068	udiaeresis	1	00FC		[‥/u]	‥u	
		Amacron	1	0100		[-/A]	AA	
		Cdotabv	1	010A		[./C]	^C	
	M063013		1	010D		[ˇ/c]		
	M063021		1	0115		[ˇ/e]		
			1	016D		[ˇ/u]		
	M062937	Imacron	1	012A		[-/I]		
		ntilde	1	00F1		[~/n]	~n	
		Omacron	1	014C		[-/O]	OO	
	M063055	omacron	1	014D		[-/o]		
		Sacute	1	015A		[′/S]	`S	
		sacute	1	015B		[′/s]	`s	
	M062962		1	0160		[ˇ/S]		
		Umacron	1	016A		[-/U]	UU	
		umacron	1	016B		[-/u]	uu	
			1	0119		ę		
		atilde	1	00E3		[~/a]	~a	
		Adiaeresis	1	00C4		[‥/A]	‥A	
	M062914	Ccedilla	1	00C7		Ç		
	M062917	Eacute	1	00C9		[′/E]	`E	
		Ntilde	1	00D1		[~/N]	~N	
		Odiaeresis	1	00D6		[‥/O]	‥O	
	M062968	Udiaeresis	1	00DC		[‥/U]	‥U	
		agrave	1	00E0		[`/a]		
	M063051	odiaeresis	1	00F6		[‥/o]	‥o	
		acirc	1	00E2		[^/a]	^a	
		oacute	1	00F3		[′/o]	`o	
	M063051	adiaeresis	1	00E4		[‥/a]	‥a	
	M063014	ccedilla	1	00E7		ç		
		egrave	1	00E8		[`/e]		
	M063017	eacute	1	00E9		[′/e]	`e	
	M063020	ecirc	1	00EA		[^/e]	^e	
		ediaeresis	1	00EB		[‥/e]	‥e	
		iacute	1	00ED		[′/i]	`I	
		cdotabv	1	010B		[./c]	^c	
	M063001	aacute	1	00E1		[′/a]	`a	
		ndotblw	1	1E47		[n/.]	.n	
		amacron	1	0101		[-/a]	aa	
		cdotblw	1			[c/.]	.c	
		Cdotblw	1			[C/.]	.C	
		udotblw	1	1EE5		[u/.]	.u	
		adotblw	1	1EA1		[a/.]	.a	
		tdotblw	1	1E6D		[t/.]	.t	
		Tdotblw	1	1E6C		[T/.]	.T	
		sdotblw	1	1E63		[s/.]	.s	
		Sdotblw	1	1E62		[S/.]	.S	
		rdotblw	1	1E5B		[r/.]	.r	
	M062986		1	017D		[ˇ/Z]		
		Rdotblw	1	1E5A		[R/.]	.R	
		Ndotblw	1	1E46		[N/.]	.N	
		hdotblw	1	1E25		[h/.]	.h	
		Gacute	1	01F4		[′/G]	`G	
		Bdotblw	1	1E04		[B/.]	.B	
		Ddotblw	1	1E0C		[D/.]	.D	
		Hdotblw	1	1E24		[H/.]	.H	
		kdotblw	1	1E33		[k/.]	.k	
		Ldotblw	1	1E36		[L/.]	.L	
		ldotblw	1	1E37		[l/.]	.l	
		mdotabv	1	1E41		[./m]	^m	
		mdotblw	1	1E43		[m/.]	.m	
		Ndotabv	1	1E44		[./N]	^N	
		ndotabv	1	1E45		[./n]	^n	
		ddotblw	1	1E0D		[d/.]	.d	
00001	M016085	M016085	1	6B35		[肄-聿+欠]	款	
00002	M024824	M024824	1	9834		[(匕/示)*頁]	穎	
00003	M067838	M067838				[(工*刀)/言]	辯	
00004	M043491	M043491	1	982E		[(水/廾)*頁]	沬	
00005	M067839	M067839				[(牙*ㄉ)/里]		
00006	M021123	M021123	0	249B2		[(王*巨)/木]	璩	
00007	M011004	M011004	1	6133		[(目*目)/心]	懼	
00008	M003167	M003167	1	53DC		[(宋-木)/火/又]	叟	
00009	M072742	CB0009	0		21EB2	[阿-可+(山/(峻-山))]	峻	
00010	M013604	M013604	1	65B5		[(留-田+亞)*斤]	斲	
00011		CB0011				[(索-糸)/石/木]		
00012	M013531	M013531	0	3ABA		[(爽-(爻*爻)+(目*目))*斗]		
00013	M011112	M011112	1	6164		[(殼-一)/心]	愨	
00014	M067296	M067296	0	246D3		[(殼-一)/牛]		
00015	M047246	M047246	0	2A131		[(嫡-女)*鳥]		
00017	M048950	M048950	1	5350		[?卍]		
00018	M007435	M007435	1	5C05		[兙-十+寸]	剋	
00019	M048760	M048760	0	2A654		[〦/(刀*ㄚ*(留-刀-田))/齒]		
00020	M009594	M009594	1	5F03		[〦/弁]	棄	
00021	M072750	CB0021				[卄/(仁-二+(公/几))]		
00022	M067840	M067840				[卄/(束*束)]	蕀	
00023	M030668	M030668	1	8289		[卄/干]		
00024	M031454	M031454	1	8471		[卄/匆/心]	蔥	
00025	M056153	M056153	1	82FD		[卄/瓜]		
00026	M030820	M030820	1	82F7		[卄/甘]		
00027	M055535	M055535	1	8385		[卄/位]	蒞	
00028	M031017	M031017	1	8382		[卄/別]		
00029	M031263	M031263	0	26C55		[卄/呵]		
00030	M055569	M055569	1	8420		[卄/朋]	萌	
00031	M031168	M031168	1	83D3		[卄/果]	果	
00032	M053196	M053196	1	8488		[卄/皆]		
00033	M059897	M059897	1	84DE		[卄/舀]	萏	
00034	M031598	M031598	1	84AD		[卄/芻]	芻	
00035	M054030	M054030	1	8597		[卄/園]	園	
00036	M032436	M032436	0	27090		[卄/積]		
00037	M032255	M032255	0	26FC6		[卄/碭]		
00038	M008773	M008773	1	5E00		[一/巾]	匝	
00039	M034205	M034205	1	88A0		[〦/失/(衣-〦)]	袟	
00040	M000262	M000262	1	4E98		[一/旦]		
00041	M046658	M046658	1	9CF0		[入*鳥]		
00042	M001494	M001494	1		517E	[八/異]	冀	
00043	M043347	M043347	0	29454		[乞*頁]		
00044	M032836	M032836	0	459F		[亡/虫]	虻	
00045	M003382	M003382	0	20BD7		[口*(一/巾)]	咂	
00046	M004264	M004264	1	5637		[口*(自/(犀-尸-牛)/十)]	嗥	
00047	M067042	M067042				[口*(隹/乃)]		
00048	M003255	M003255	1	53F6		[口*十]	協	
00049	M003315	M003315	1	5414		[口*也]		
00050	M003296	M003296	0	3567		[口*尸]		
00051	M003322	M003322	1	541A		[口*尹]		
00052	M003364	M003364	1	5432		[口*引]		
00053	M003336	M003336	1	5423		[口*心]	唚	
00054	M003419	M003419	1	544C		[口*斗]	叫	
00055	M003361	M003361	0	356E		[口*父]		
00056	M003479	M003479	1	5483		[口*他]		
00057	M003443	M003443	1	546A		[口*兄]	咒	
00058	M003426	M003426	1	545E		[口*司]	齝	
00059	M050005	M050005	1	549C		[口*它]		
00060	M067841	M067841				[口*斥]		
00061	M003494	M003494	1	548F		[口*永]	詠	
00062	M003533	M003533	1	54A4		[口*宅]		
00063	M003688	M003688	0	20CBF		[口*束]		
00064	M003833	M003833	1	555D		[口*和]		
00065	M059207	M059207	1	556B		[口*者]	嗜	
00066	M003931	M003931	0	35CC		[口*室]		
00067	M004016	M004016	0	20E3B		[口*建]		
00068	M004015	M004015	1	55B0		[口*食]	飧	
00069	M004101	M004101	0	35DA		[口*栗]		
00070	M066116	M066116	0	20E95		[口*留]		
00071	M004099	M004099	1		55DE	[口*茲]		
00072	M004172	M004172	1	5607		[口*參]		
00073	M004178	M004178	1	560A		[口*崖]	啀	
00074	M004225	M004225	0	20F1D		[口*梨]		
00075	M010024	CB0075	0	224AF		[口*(彪-儿+巾)]		
00076	M004306	M004306	1	564D		[口*焦]		
00077	M004324	M004324	1	5654		[口*登]		
00078	M004310	M004310	1	564F		[口*翕]		
00079	M004404	M004404	0	3601		[口*睪]		
00080	M061768	M061768	0	21014		[口*路]		
00081	M004449	M004449	0	3605		[口*銜]	銜	
00082	M004544	M004544	1	56A0		[口*劉]	瀏	
00083	M004529	M004529	0	210A0		[口*蔡]		
00084	M004574	M004574	0	21107		[口*磬]		
00085	M004555	M004555	1	56A9		[口*縛]		
00086	M067008	M067008	0	21197		[口*邏]		
00087	M003452	M003452				[口*呰]		
00088	M003947	M003947	0	35C1		[口*咢]	齶	
00089	M004035	M004035	1	55C1		[口*虒]	啼	
00090	M003980	M003980	0	20DD0		[口*恒]		
00092	M005334	M005334	0	213B0		[土*(尸@辛)]	墀	
00093	M005344	M005344	1	585C		[土*(蒙-卄)]		
00094	M004900	M004900	1	5737		[土*下]		
00095	M004910	M004910	1	5742		[土*反]	阪	
00096	M021447	M021447	0	24B2A		[土*瓦]		
00097	M059312	M059312	1	5813		[土*岸]	岸	
00098	M005311	M005311	0	21394		[土*屋]		
00099	M005327	M005327	1	5850		[土*素]	塑	
00100	M005393	M005393	1	5878		[土*區]		
00101	M005588	M005588	1	58DC		[土*曇]	罈	
00102	M005592	M005592	1	58E0		[土*龍]	壟	
00103	M067842	M067842	0	218F6		[女*(替-曰+貝)]		
00104	M067843	M067843	1		5AD3	[女*((奐-大)/比)]	媲	
00105	M006135	M006135	1	59B7		[女*失]		
00106	M006165	M006165	1	59C9		[女*市]	姊	
00107	M006121	M006121	1	59AC		[女*石]	妒	
00108	M006209	M006209	1	59DF		[女*亥]		
00109	M006248	M006248	1	59F9		[女*宅]	奼	
00110	M007048	M007048	1	5B7E		[孑*嬰]	嬰	
00111	M007498	M007498	1	5C1B		[小/(小*小)]	麼	
00112	M073450	M073450	0	21C31		[尸@工]	尼	
00113	M007713	M007713	1	5C53		[尸@貝]		
